"dati.lat","dati.lng"
45.4777784,9.1796941
45.4443626,9.1672422
45.4655645,9.1802443
45.4659851,9.1899214
45.4506678,9.1879188
45.4513877,9.1358298
45.4624388,9.173048
45.482134,9.3298
45.4660387,9.207455
45.5120148,9.2247012
45.4625787,9.1946828
45.5894438,9.2530086
45.4810833,9.2039832
45.4505636,8.9668622
45.4817604,9.1840235
45.4688784,9.2114124
45.4632453,9.188976
45.4618155,9.2135517
45.4657543,9.1512257
45.4420053,9.1723767
45.508687,9.2004822
45.5379983,9.219322
45.457452,9.17299
45.5135231,9.191143
45.4810833,9.2039832
45.4911499,9.2445669
45.4914562,9.1844094
45.4692104,9.2156192
45.4698503,9.1946712
45.4631842,9.182856
45.4643806,9.1937408
45.478138,9.2052536
45.4776165,9.1880697
45.4782542,9.1625146
45.4810685,9.2096571
45.6490446,8.8091519
45.46696,9.189158
45.4684206,9.1323628
45.4518958,9.1747548
45.4528439,9.1859605
45.4216889,9.2046547
45.4733356,9.1526514
45.48567,9.192118
45.4505556,9.1991667
45.4834073,9.2039635
45.4812889,9.1733647
45.4687285,9.209663
45.4520913,9.1772494
45.4467236,9.1259339
45.4620613,9.2674656
45.495251,9.2376864
45.4798624,9.1829551
45.4763559,9.1705901
45.4780346,9.2077101
45.451802,9.1632901
45.4615677,9.1893573
45.4595606,9.2072241
45.4772645,9.2020793
45.4623825,9.1940276
45.4566699,9.2122691
45.4997447,9.2245175
45.4550789,9.147224
45.491357,9.099469
45.4819486,9.1885366
45.4527108,9.1701243
45.4702367,9.2303452
45.4763069,9.1952257
45.519297,9.1699799
45.448209,9.216389
45.4910472,9.2391444
45.451697,9.175184
45.4813368,9.1992671
45.4820663,9.2108917
45.469007,9.1761602
45.4499205,9.2013769
45.487019,9.031147
45.4604874,9.1514988
45.4607112,9.1867721
45.474463,9.1946049
45.4733685,9.1956078
45.4676246,9.1526296
45.4869186,9.1854944
45.4539747,9.1547395
45.448236,9.1774249
45.4794467,9.2118777
45.46013,9.2101501
45.4526319,9.1452424
45.4578925,9.2060631
45.4674397,9.1740107
45.46524,9.175361
45.4810833,9.2039832
45.4601142,9.1660927
45.4507799,9.202302
45.4676025,9.1832473
45.4991264,9.1657066
45.4469223,9.1533507
45.4397937,9.2250301
45.4723778,9.2268782
45.4904495,9.2301527
45.4592099,9.1818507
45.5020021,9.1660143
45.4368867,9.1566806
45.467007,9.144509
45.4867552,9.1594478
45.4707748,9.2063189
45.4812869,9.2112827
45.4666922,9.2100821
45.4829567,9.1697729
45.4779498,9.1699677
45.4649122,9.1815493
45.465544,9.17635
45.4811445,9.1853639
45.4815913,9.1777201
45.452227,9.219446
45.4584732,9.131244
45.4887221,9.1996858
45.4458606,9.2131224
45.4654098,9.2111591
45.4820599,9.1969426
45.4883259,9.1894321
45.4813368,9.1992671
45.4625704,9.2087804
45.4848193,9.2097384
45.4588755,9.1869815
45.4763069,9.1952257
45.4765803,9.1886278
45.4502682,9.2049564
45.4837723,9.2055597
45.4682875,9.1950519
45.4757499,9.1952702
45.4723775,9.2097222
45.4812802,9.1759905
45.4455182,9.146575
45.4731088,9.1877332
45.4724709,9.1873375
45.483953,9.19801
45.4893881,9.1636323
45.4747672,9.1507671
45.4734544,9.1600801
45.4432993,9.1765098
45.5217913,9.2154804
45.4577938,9.193772
45.477887,9.188642
45.4596273,9.1810368
45.4507224,9.1709075
45.474278,9.1830446
45.4838457,9.2100077
45.4534584,9.1579042
45.4727586,9.1964477
45.500022,9.221591
45.4779492,9.2044155
45.4605822,9.2258869
45.4369085,9.2019859
45.4665781,9.1615921
45.4664383,9.1833181
45.1156626,9.9931679
45.4653611,9.1648352
45.4809082,9.1927341
45.4627417,9.1933684
45.4886555,9.2237956
45.7931514,8.7463156
45.476875,9.1967149
45.443766,9.215997
45.4491667,9.2169444
45.496576,9.1833029
45.4520525,9.2050116
45.4701717,9.1855346
45.4615248,9.1447733
45.478138,9.2052536
45.4997419,9.2246761
45.4801276,9.2031148
45.4675391,9.1520792
45.4848205,9.165102
45.4610734,9.1832556
45.4509231,9.1489416
45.4519444,9.1705556
45.4633936,9.1892932
45.5007672,9.1416221
45.465728,9.1905653
45.4478115,9.2050698
45.4673758,9.1740812
45.467632,9.174846
45.4484683,9.2120351
45.4578293,9.1778555
45.1306046,9.7784132
45.503521,9.1786043
45.4631496,9.1593704
45.5102534,9.176363
45.4663801,9.21489
45.4604529,9.1603873
45.4519688,9.1833395
45.480343,9.2017088
45.4506157,9.1615613
45.4793068,9.1821188
45.1666069,9.8895791
45.488031,9.1594994
45.465267,9.2216921
45.4804615,9.1997147
45.4604953,9.1147296
45.4921942,9.1512144
45.4598743,9.1659517
45.4839395,9.1814734
45.4715718,9.1696075
45.4683288,9.2131606
45.4808333,9.1794444
45.477434,9.185352
45.4512106,9.2116309
45.4812367,9.1792626
45.4654246,9.2083232
45.4657397,9.1911092
45.4433916,9.1112525
45.4867165,9.1910603
45.4734361,9.1910846
45.472223,9.18305
45.4512455,9.2004427
45.457452,9.17299
45.4550407,9.1670609
45.5110265,9.2148249
45.4622838,9.1874189
45.4708238,9.2317532
45.4637309,9.1984492
45.452376,9.1766016
45.48588,9.1964105
45.4818694,9.2062361
45.4534276,9.1579682
45.4789848,9.1886501
45.4640531,9.2066585
45.4621223,9.2142397
45.4527469,9.1745391
45.4809002,9.1935397
45.4876938,9.2026109
45.452607,9.173432
45.4581324,9.2120617
45.476797,9.204024
45.4998134,9.2263921
45.4367356,9.2163267
45.472003,9.1873988
45.4842745,9.2140767
45.4796485,9.1837125
45.4974263,9.1334072
45.4770822,9.1938431
45.4658211,9.172407
45.4723739,9.3060083
45.4833179,9.1811587
45.4507602,9.1691007
45.451793,9.1706756
45.4665905,9.182964
45.4776148,9.1991317
45.4792302,9.2175381
45.467632,9.174846
45.4583085,9.2076614
45.4547115,9.1802891
45.4723927,9.1944704
45.4507741,9.1922941
45.482063,9.2009174
45.456265,9.204646
45.4676246,9.1526296
45.4841535,9.1636342
45.4773541,9.2121925
45.4615677,9.1893573
45.4531778,9.2030058
45.4556767,9.1745582
45.4649764,9.1956571
45.4821712,9.1969315
45.452906,9.1662347
45.4774581,9.2060991
45.484601,9.1658049
45.4655853,9.1978995
60.2795906,24.7613922
45.4709017,9.1228384
45.4556502,9.1685857
45.4553894,9.1710514
45.4683423,9.1727571
45.478706,9.2167976
45.4620339,9.185944
45.4506537,9.1535359
45.4829704,9.2053249
45.5109785,9.1754927
45.473121,9.1183346
45.4789848,9.1886501
45.4774951,9.1791989
45.4819444,9.1725
45.4621338,9.1904483
45.4672461,9.1737812
45.4649122,9.1815493
45.4808502,9.1927028
45.4770463,9.2019967
45.4454609,9.1640094
45.4708261,9.2065093
45.4515931,9.172939
45.4657452,9.1961637
45.4947706,9.1855922
45.453186,9.17224
45.4444653,9.1659843
45.5061799,9.2320329
45.4679206,9.1344907
45.4541345,9.2133533
45.4668795,9.1452978
45.495774,9.187715
45.4564725,9.1953893
45.4493593,9.2024882
45.4789848,9.1886501
45.4752981,9.189119
45.4789971,9.202924
45.4669322,9.2149303
45.4622838,9.1874189
45.4801462,9.2201069
45.4593968,9.1704937
45.4839744,9.1983223
45.4488602,9.2211228
45.4369773,9.1921086
45.4528439,9.1859605
45.4783608,9.1777441
45.4775439,9.1472145
45.4604875,9.1899248
45.4883974,9.1887332
45.4546086,9.2201623
45.4804443,9.161042
45.4790861,9.17815
45.4598733,9.18186
45.486522,9.2034304
45.4761354,9.1713442
45.4712655,9.1825567
45.4819698,9.1748178
45.6254005,9.3230951
45.470516,9.1513772
45.466399,9.18748
45.4819769,9.2008359
45.4599417,9.1890111
45.4739844,9.209316
45.4875679,9.1901608
45.461974,9.2329121
45.4372725,9.2179749
45.491378,9.239295
45.44633,9.1802278
45.4442225,9.1161815
45.4709687,9.16862
45.4790045,9.1779133
46.0220139,7.747775
45.484951,9.162329
45.4793061,9.1748628
45.4751077,9.1886141
45.4795898,9.1459355
45.450925,9.1700679
45.4631324,9.1861374
45.481363,9.2050526
45.467132,9.2073134
45.483963,9.242307
45.4491974,9.1814648
45.4862028,9.3017213
45.4443999,9.1299971
45.4727855,9.1439203
45.465728,9.1905653
45.4665512,9.1834376
45.4744339,9.1886692
45.4503878,9.1947903
45.486684,9.2904714
45.4763209,9.2050153
45.4403588,9.1458453
45.485574,9.197614
45.4551003,9.2015503
45.4558962,9.2048733
45.4825175,9.1988419
45.4620062,9.1950808
45.4707921,9.2556279
45.4576333,9.2215323
45.459765,9.2051997
45.4712655,9.1825567
45.459374,9.1902461
45.4854521,9.2353474
45.4594102,9.2111967
45.4674162,9.14736
45.4966846,9.1835996
45.4445286,9.2078998
45.4756013,9.1833092
45.4969444,9.1905556
45.4511809,9.1896933
45.4703423,9.2464384
45.4512455,9.2004427
45.4506739,9.1684653
45.4888653,9.2039412
45.4683423,9.1727571
45.4513626,9.0831509
45.4664383,9.1833181
45.4682875,9.1950519
45.461892,9.1902138
45.4688889,9.1916667
45.4512195,9.1729112
45.4842817,9.1634361
45.4527108,9.1701243
45.4895692,9.2097919
45.4793068,9.1821188
45.4893827,9.189231
45.4808674,9.1831823
45.4596273,9.1810368
45.5915185,9.1740195
45.4903033,9.2219507
45.4885814,9.1902653
45.4829011,9.1978373
45.4545229,9.1713638
45.4505768,9.16998
45.4521521,9.2054419
45.4737694,9.2122694
45.47689,9.2024904
45.4666922,9.2100821
45.4679704,9.1520831
45.4771508,9.1743502
45.4759029,9.2028824
45.470387,9.2406452
45.433903,9.174037
45.4509341,9.1765184
45.4508212,9.1976274
45.4525891,9.2102748
45.47276,9.1896843
45.4610734,9.1832556
45.4418932,9.1324503
45.5280203,9.1610752
45.4640531,9.2066585
45.4814978,9.1791489
45.5161878,9.1744884
45.4586944,9.1542716
45.4819705,9.229153
45.4900121,9.1904185
45.4650732,9.1892048
45.4530355,9.1663702
45.4891051,9.1885537
45.4461141,9.1790991
45.5057371,9.2286026
45.4683423,9.1727571
45.465728,9.1905653
45.4570325,9.2138369
45.4618644,9.2000704
45.4787492,9.2168255
45.6014077,8.9134183
45.4767345,9.1886854
45.4473751,9.1530325
45.4458606,9.2131224
45.462023,9.228323
45.4809439,9.2034378
45.488895,9.188824
45.4731088,9.1877332
45.4667477,9.1522333
45.4790861,9.17815
45.4649122,9.1815493
45.458188,9.206128
45.4685407,9.1756322
48.0003113,11.3419116
45.4734911,9.2067512
45.4857058,9.1484638
45.4532731,9.1806855
45.4640531,9.2066585
45.4821451,9.1928279
45.4841876,9.2015804
45.453948,9.169074
45.4534955,9.1569415
45.4806972,9.1926586
45.4572239,9.1810137
45.454987,9.16148
45.4678993,9.1742802
45.4624561,9.1883923
45.4931823,9.1483349
45.4807531,9.1986346
45.4613767,9.1545544
45.4814725,9.2142184
45.451591,9.174769
45.4658622,9.1843958
45.4705866,9.2007708
45.4709687,9.16862
45.4694512,9.1868581
45.459374,9.1902461
45.4616869,9.1851425
45.4441596,9.1963831
45.457397,9.183248
45.4529462,9.2149666
45.4820922,9.2197502
45.4786652,9.2096034
45.4655575,9.1927452
45.4921274,9.1512478
45.4508333,9.1976058
45.4794893,9.1948814
45.4511086,9.1723724
45.4786704,9.1882281
45.488046,9.228167
45.476871,9.205432
45.4587585,9.1809426
45.4815913,9.1777201
45.481853,9.209483
45.4526319,9.1452424
45.4754383,9.2144521
45.6254005,9.3230951
45.4701665,9.2348955
45.455102,9.1734213
45.4842817,9.1634361
45.4405852,9.2142518
45.4797509,9.1656069
45.4862748,9.1975273
45.5010368,9.1830183
45.4548759,9.1999622
45.4675228,9.213219
45.4493814,9.1997827
45.4481891,9.1625593
45.4615675,9.2300854
45.4818768,9.1798408
45.4609399,9.2025753
45.4788438,9.1843698
45.4561061,9.1651173
45.4830209,9.1563183
45.4531073,9.170683
45.4508453,9.2000034
45.4512195,9.1729112
45.4799687,9.1966443
45.4813048,9.1689055
45.4695387,9.15509
45.4525861,9.214961
45.4582188,9.2128665
45.4681691,9.1513344
45.4503578,9.2048187
45.4172857,9.1789169
45.4774896,9.2077745
45.4887799,9.1998189
45.489669,9.1873702
45.4842172,9.1571059
45.4776819,9.090792
45.4809444,9.1904687
45.4606429,9.1938414
45.4657452,9.1961637
45.4654003,9.1811394
45.476524,9.2026319
45.4539047,9.1634437
45.4882334,9.1618605
45.478658,9.2060179
45.4812425,9.2056055
45.4570473,9.1702892
45.4814971,9.1874085
45.4596258,9.1131796
45.4721327,9.1857178
45.4808919,9.1854727
45.4863481,9.1865843
45.443161,9.1160278
45.4939282,9.1853261
45.4481247,9.2092604
45.4488059,9.2108737
45.4867759,9.1670728
45.4649122,9.1815493
45.4813734,9.1744403
45.4683423,9.1727571
45.4967935,9.2051859
51.1126165,-2.4534937
45.458001,9.1705529
45.4811486,9.1665732
45.471543,9.214489
45.4813298,9.1765932
45.4588028,9.1318443
45.482063,9.2009174
45.456974,9.2166469
45.483152,9.1700624
45.6190919,9.4619181
45.4423834,9.1337931
45.4855232,9.2046028
45.467456,9.19038
45.5099297,9.1750765
45.4903033,9.2219507
45.4870706,9.1560714
45.4768578,9.2149618
45.4455182,9.146575
45.4408371,9.156262
45.4664383,9.1833181
45.4649122,9.1815493
45.4898736,9.1895687
45.5220831,9.2159078
45.483627,9.1890437
45.4566891,9.1740312
45.473264,9.2079162
45.4639566,9.2171043
45.4696145,9.1546349
45.4812802,9.1759905
45.4522142,9.1762335
45.4831086,9.1993152
45.4935047,9.1446511
45.5811593,9.1925789
45.4586833,9.1782735
45.4821712,9.1969315
45.4629028,9.2353947
45.4990141,9.1913218
45.4835646,9.1702621
45.4600503,9.0977041
45.4735634,9.1262008
45.4915802,9.207667
45.506193,9.223446
45.490336,9.2037626
45.4674782,9.1825547
45.4681691,9.1513344
45.4600193,9.2386541
45.485457,9.2157965
45.5029251,9.1982661
45.4438083,9.1279425
45.4813048,9.1689055
45.4527313,9.1756197
45.480223,9.1933041
45.4613044,9.2280151
45.4642927,9.1956535
45.4893881,9.1636323
45.4314347,9.2015795
45.4776472,9.185623
45.4729291,9.2109392
45.4674782,9.1825547
45.4598923,9.1653624
45.6549491,9.7123442
45.5247206,9.0499942
45.485401,9.1615896
45.4486852,9.2068172
45.4760559,9.1887438
45.4510302,9.2035732
45.4531843,9.1801969
45.4503578,9.2048187
45.172025,9.1463841
45.4874555,9.1669455
45.4895608,9.1889212
